"PIN_NOT_EDIT_ADMIN";"Pin-Feed not editable area"
"Wall Pin Feed setting";"Wall Pin-Feed setting"
"Place the large size of the pin feed to make it more beautiful";"Place the large size of the pin feed to make it more beautiful"
"Yes, enable to fit the user`s browser size";"Yes, enable to fit the user`s browser size"
"No, keep pin feed`s width fixed";"No, keep pin feed`s width fixed"
"Save";"Save"
"Replace standard Home Page to the Pin Feed";"Replace standard Home Page to Pin-Feed"
"BLOCKS_PEN_SETTINGS_DESCRIPTION";"Here you can configure Pin-Feed settings. More settings for your feed you can find in HE-Wall plugin page."
"Replaces standard Home Page on a beautiful new Pin Feed";"Replaces standard Home Page to the beautiful Pin-Feed page."
