
"HEQUESTION_ADD_OPTION"; "Add an option ... "
"HEQUESTION_Yes, allow viewing of questions."; "Yes, allow viewing questions."
"HEQUESTION_No, do not allow questions to be viewed."; "No, do not allow to view questions."

"HEQUESTION_Allow Questions?"; "Allow Creating Questions?"
"HEQUESTION_Do you want to allow members to create question?"; "Do you want to allow members to create question?"
"HEQUESTION_Yes, allow this member level to create question"; "Yes, allow this member level to create question"
"HEQUESTION_No, do not allow this member level to create question"; "No, do not allow this member level to create a question"

"HEQUESTION_Allow Editing of Questions?"; "Allow Editing of Questions?"
"HEQUESTION_Do you want to let members edit questions? If set to no, some other settings on this page may not apply."; "Do you want to let members edit questions? If you will set no, some other settings on this page may not apply."
"HEQUESTION_Yes, allow members to edit all questions."; "Yes, allow members to edit all questions."
"HEQUESTION_Yes, allow members to edit their own questions."; "Yes, allow members to edit their own questions."
"HEQUESTION_No, do not allow members to edit their questions."; "No, do not allow members to edit their questions."

"HEQUESTION_Allow Deletion of Questions?"; "Allow Deletion of Questions?"
"HEQUESTION_FORM_ADMIN_LEVEL_DELETE_DESCRIPTION"; "Do you want to let members delete polls? If you will set no, some other settings on this page may not apply."
"HEQUESTION_Yes, allow members to delete all questions."; "Yes, allow members to delete all questions."
"HEQUESTION_Yes, allow members to delete their own questions."; "Yes, allow members to delete their own questions."
"HEQUESTION_No, do not allow members to delete their questions."; "No, do not allow members to delete their questions."

"HEQUESTION_Allow Commenting on Questions?"; "Allow Commenting on Questions?"
"HEQUESTION_Do you want to let members of this level comment on questions?"; "Do you want to let members of this level comment questions?"
"HEQUESTION_Yes, allow members to comment on all questions, including private ones."; "Yes, allow members to comment on all questions, including private questions."
"HEQUESTION_Yes, allow members to comment on questions."; "Yes, allow members to comment questions."
"HEQUESTION_No, do not allow members to comment on questions."; "No, do not allow members to comment questions."

"HEQUESTION_Question Privacy"; "Question Privacy"
"HEQUESTION_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION"; "Your members can choose from any of the options checked below when they decide who can see their question. If you will not select any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."


"HEQUESTION_These settings affect all members in your community."; "These settings affect all members in your community."
"HEQUESTION_Questions Per Page"; "Questions on each Page"
